Acession code	Predicted	True
Q6ZY51	0	0
O60158	0	0
Q7SAJ1	0	0
Q39134	0	0
Q99359	0	0
Q9UUB6	0	0
Q7L0Y3	0	0
Q9P287	0	0
Q9URY5	0	0
Q9P127	0	0
O60566	0	0
P82899	0	0
P82536	0	0
Q5VZV1	0	0
P33751	0	0
Q08274	0	0
P22265	0	0
P07665	0	0
Q96WV0	0	0
Q9NVI1	0	0
Q7M258	0	0
P00428	0	0
O59734	0	0
Q810M6	0	0
Q8TAX9	0	0
P48254	0	0
Q8H157	0	0
Q8N0T1	0	0
Q99ML0	0	0
Q9WUM4	0	0
G5ECD6	0	0
Q9NR21	0	0
P23786	0	0
P40012	0	0
A8JFU2	1	0
Q75W84	0	0
Q03429	0	0
Q12117	0	0
Q9FV50	0	0
Q9XZ34	0	0
Q17431	0	0
Q8NCN2	0	0
Q9BRS2	0	0
P32521	0	0
P17009	0	0
Q9Y2Q9	0	0
Q6X7J9	0	0
P70585	0	0
Q5VTR2	0	0
P59722	0	0
Q92989	0	0
Q7S7R6	0	0
Q6DBA5	0	0
P03934	0	0
Q02642	0	0
Q9NVV9	0	0
Q84MZ4	0	0
Q8MEX2	0	0
P87227	0	0
O75821	0	0
Q99373	0	0
Q498E2	0	0
Q9SZL6	0	0
Q94IN5	0	0
O43008	0	0
Q9H832	0	0
F4JYC8	0	0
O23166	0	0
Q9P7V4	0	0
F4IHL3	0	0
Q02950	0	0
Q3MV14	0	0
O74832	0	0
Q10SY9	1	0
Q9UH65	0	0
O43542	0	0
A0A2Z4LIS9	0	0
A9UHW6	0	0
O74845	0	0
Q9GRZ3	0	0
Q9TLS1	0	0
O19883	0	0
Q0D3I7	0	0
Q8R526	0	0
O09130	0	0
Q9CPR8	0	0
O78431	0	0
Q6ZWS8	0	0
Q9UT10	0	0
Q8IPX7	0	0
P06652	0	0
Q9P7E0	0	0
Q9VEC3	0	0
Q92546	0	0
O94453	0	0
P61266	0	0
Q8GWA2	0	0
Q8H3A7	0	0
P05435	0	0
O48716	0	0
O95359	0	0
P23769	0	0
M9MRD1	0	0
Q9D8H7	0	0
Q38HM4	0	0
P48382	0	0
Q7KTX8	0	0
D3YN49	0	0
O13919	0	0
Q0P5I5	0	0
Q8TAT5	0	0
Q9XIP2	0	0
Q09961	0	0
P41698	0	0
Q29RF7	0	0
Q03718	0	0
Q7K556	0	0
Q7SHR9	0	0
O88713	0	0
Q9SHE8	0	0
P47158	0	0
Q6Q4D0	0	0
Q06494	0	0
Q9VSA3	0	0
P42696	0	0
Q9C587	0	0
Q8RXN6	0	0
P38879	0	0
P26335	0	0
Q3MHJ5	0	0
O94368	0	0
P26860	0	0
P43246	0	0
Q9V4P1	0	0
B2RRE4	0	0
Q9UT98	0	0
Q9UT09	0	0
O14142	0	0
P32493	0	0
P40154	0	0
Q9UUH3	0	0
Q3UK10	0	0
Q7Z995	0	0
P51230	0	0
Q99L02	0	0
Q9UFC0	0	0
Q9NYV6	0	0
P36213	0	0
O60142	0	0
Q3URQ0	0	0
P02260	0	0
P27583	0	0
Q42885	0	0
Q8BSF4	0	0
Q6QD73	0	0
O60016	0	0
O88843	0	0
Q8BGS1	0	0
P47988	0	0
P07195	0	0
Q9UNA4	0	0
Q7SG49	0	0
Q8CGA3	0	0
P22893	0	0
Q9URW7	0	0
Q9UUB5	0	0
F4J264	0	0
Q06214	0	0
G5EEV2	0	0
Q00194	0	0
Q07914	0	0
Q7M3M8	0	0
Q3U8K7	0	0
Q9C5Z3	0	0
O14196	0	0
Q9LSQ3	0	0
P22194	0	0
Q9LY23	0	0
Q9M9V6	0	0
Q94126	0	0
Q2WGF1	0	0
Q96RL1	0	0
P85088	0	0
O74511	0	0
Q9TLX4	0	0
P03902	0	0
Q28602	0	0
Q9HD15	0	0
Q16514	0	0
O74416	0	0
Q10220	0	0
Q08970	0	0
Q9H3F6	0	0
Q1K528	0	0
O13713	0	0
O88554	0	0
Q9UTG1	0	0
Q9C9U5	0	0
Q12072	0	0
P68353	0	0
Q09242	0	0
Q96CX2	0	0
Q9W3U1	0	0
O82645	0	0
Q9H0W9	0	0
P15720	0	0
Q7Z6K1	0	0
Q96RE7	0	0
P02898	0	0
Q80VL1	0	0
Q9LZW2	0	0
O15524	0	0
Q8H1D9	0	0
Q9SW33	0	0
Q9Y6W3	0	0
Q9DAM1	0	0
Q01902	0	0
Q8S9K3	0	0
Q9W1V7	0	0
Q5TKA1	0	0
Q66HP6	0	0
Q5T3J3	0	0
P00560	0	0
Q9H5U6	0	0
Q86TP1	0	0
P90783	0	0
P83510	0	0
P22148	0	0
A0T0D6	0	0
O74964	0	0
Q09330	0	0
Q336R9	0	0
Q9R0A0	0	0
Q5KMX8	0	0
Q9NZC4	0	0
Q960V3	0	0
Q29006	0	0
Q04847	0	0
Q9M9F0	0	0
Q9C7A2	0	0
P42842	0	0
Q9DBA9	0	0
G5EEG9	0	0
Q6NPS8	0	0
Q9P7N6	0	0
Q9VL14	0	0
Q8VCF0	0	0
Q9P3U7	1	0
Q6ID70	0	0
Q8IUH3	0	0
Q9Y7Z7	0	0
Q03071	0	0
Q9SYD8	0	0
Q3UUF8	0	0
P31326	0	0
Q9HBE1	0	0
Q23885	0	0
O74752	0	0
P39749	0	0
Q7Z7A4	0	0
Q8IW03	0	0
Q9CQT2	0	0
P0C304	0	0
Q8NF50	0	0
Q9NQ31	0	0
Q9LT27	0	0
Q9Y7M8	0	0
Q00312	0	0
Q13686	0	0
Q6RFZ7	0	0
P70460	0	0
Q96GM8	0	0
Q9UTG3	0	0
A0T0S6	0	0
Q9USM9	0	0
Q08062	0	0
Q09668	0	0
Q9UJX4	0	0
P31179	0	0
P55209	0	0
Q17569	0	0
Q13342	0	0
P41779	0	0
Q8CEG8	0	0
Q18240	0	0
P53102	0	0
Q6NL34	0	0
Q6NPM8	0	0
P40035	0	0
Q9WVJ4	0	0
O78424	0	0
P31942	0	0
Q9NTM9	0	0
F4KH86	0	0
O94365	0	0
Q05779	0	0
P12853	0	0
O00154	0	0
Q9LSQ5	0	0
Q9H190	0	0
P19735	0	0
Q9SHH0	0	0
O43290	0	0
Q9FZ96	1	0
A2CI98	0	0
O74545	0	0
P53769	0	0
Q9P6S5	0	0
Q8MUF9	0	0
Q9LP07	0	0
Q6GQQ9	0	0
Q91W39	0	0
P47910	0	0
O94733	0	0
P14808	0	0
Q9SMS0	0	0
Q8R4U1	0	0
Q9FXH5	0	0
Q3E7A3	0	0
O13855	0	0
M0RCI4	0	0
Q0ZCJ7	0	0
Q56Y52	0	0
Q3KP66	0	0
Q9UT04	0	0
Q8CCE9	0	0
Q8RWX4	0	0
Q9SAL0	0	0
O94478	0	0
Q95XQ1	0	0
Q38885	0	0
Q9NWT1	0	0
Q70EL2	0	0
Q9BV90	0	0
O77512	0	0
Q31721	0	0
O59719	0	0
Q76LB1	0	0
Q9HGQ0	0	0
Q84TH9	0	0
P22035	0	0
O61707	0	0
Q03338	0	0
Q04922	0	0
Q6RH25	0	0
Q06623	0	0
P52923	0	0
Q969Z0	0	0
P84562	0	0
P34447	0	0
P28004	0	0
Q8R2H7	0	0
P53150	0	0
O21264	0	0
Q12089	0	0
Q9FL44	0	0
O13598	0	0
Q7TNS8	0	0
Q9BSV6	0	0
P48324	0	0
Q6UW78	0	0
O81851	0	0
Q9WUF3	0	0
A2ANU3	0	0
P31336	0	0
P40121	0	0
Q9P7G0	0	0
Q8R010	0	0
P26868	0	0
P50091	0	0
Q9ULU4	0	0
Q9QX75	0	0
Q8T0D4	0	0
P78586	0	0
Q09726	0	0
O95900	0	0
Q08213	0	0
P39679	0	0
Q8IZ08	0	0
P80087	0	0
Q8N3V7	0	0
P48938	0	0
Q9D495	0	0
O13702	0	0
O14519	0	0
Q10210	0	0
Q8WZK3	0	0
P33240	0	0
Q8WXF8	0	0
Q9H4Q4	0	0
Q5H9F3	0	0
P68356	0	0
Q9FXA3	0	0
Q12972	0	0
Q12343	0	0
Q5T440	0	0
P41223	0	0
O82258	0	0
Q961D9	0	0
Q24472	0	0
Q80WE1	0	0
Q01842	0	0
Q54EQ8	0	0
O95782	0	0
O75943	0	0
P0C870	0	0
P41695	0	0
O94829	0	0
H2L006	0	0
Q9LF79	0	0
P93009	0	0
Q9C0C6	0	0
P98078	0	0
Q14678	0	0
Q8BZ00	0	0
Q91WV7	0	0
Q99990	0	0
Q9JKD9	0	0
Q12238	0	0
P33203	0	0
P70662	0	0
Q6L612	0	0
O14207	0	0
P16965	0	0
P40502	0	0
Q9QZN9	0	0
P30561	0	0
Q07362	0	0
Q5VY09	0	0
O44498	0	0
P61604	0	0
P50402	0	0
Q80YF9	0	0
Q708Y0	0	0
Q9H0F5	0	0
Q8I1X7	0	0
Q9P7T4	0	0
P02900	0	0
Q24478	0	0
P30038	0	0
A6NFQ2	0	0
P50479	0	0
P23511	0	0
Q92917	0	0
O43012	0	0
P03872	0	0
Q69Z66	0	0
P38937	0	0
O82286	0	0
Q9SKT1	0	0
Q5SSJ5	0	0
Q03067	0	0
Q10574	0	0
Q04116	0	0
O42636	0	0
A0A061ACU2	0	0
A0A0B5LB55	0	0
O74450	0	0
P17568	0	0
Q9UTE3	0	0
O74547	0	0
P27205	0	0
P80503	0	0
O74824	0	0
Q8RWL4	0	0
O43088	0	0
P06013	0	0
Q9V3H8	0	0
Q02525	0	0
O94533	0	0
P53725	0	0
O74739	0	0
G8B839	0	0
P31165	0	0
P49906	0	0
G5EGK6	0	0
Q9LU39	0	0
O59746	0	0
Q10KL8	0	0
Q9FWR4	0	0
O94461	0	0
Q8TBE7	0	0
Q8R4N0	0	0
Q9C642	0	0
Q9P0R6	0	0
Q9UTN0	0	0
Q8VYI3	0	0
Q01663	0	0
Q9SNB6	0	0
P07248	0	0
Q00994	0	0
Q969X6	0	0
P22136	0	0
P19538	0	0
O14981	0	0
G0S235	0	0
Q9VA12	0	0
O59809	0	0
Q9Y237	0	0
O14310	0	0
O21281	0	0
Q04613	0	0
Q10164	0	0
Q00947	0	0
Q07441	0	0
Q09260	0	0
Q68G58	0	0
Q9Y804	0	0
O42979	0	0
Q9N5A8	0	0
P47043	0	0
Q9VLR5	0	0
P25398	0	0
Q9C107	0	0
Q9LVI9	0	0
Q15257	0	0
Q86UV5	0	0
Q08143	0	0
Q09406	0	0
Q9CPV2	0	0
P80504	0	0
P81834	0	0
P53335	0	0
Q9H8K7	0	0
Q5WRN1	0	0
Q02457	0	0
Q9GZY1	0	0
P25032	0	0
Q8N140	0	0
Q86W42	0	0
Q6PR54	0	0
P51610	0	0
Q08157	1	0
O14242	0	0
P32489	0	0
Q06244	0	0
P40057	0	0
P53201	0	0
P41347	0	0
P33749	0	0
Q9P802	0	0
Q9P7J1	0	0
Q0WMY5	0	0
Q2HJF1	0	0
P40356	0	0
A2AG06	0	0
Q94230	0	0
Q2QX40	0	0
Q9Y3C1	0	0
Q6PIZ9	1	0
Q20733	0	0
P91277	0	0
Q9C9C0	0	0
Q03760	0	0
P40568	0	0
Q94A65	0	0
P40547	0	0
Q99207	0	0
P20290	0	0
Q90Z80	0	0
O00483	0	0
Q80SU7	0	0
P33144	0	0
Q9P032	0	0
Q9SLB9	0	0
Q9USS4	0	0
Q56P03	0	0
Q61471	0	0
P68358	0	0
Q9JIR4	0	0
Q13901	0	0
Q91YD9	0	0
Q63707	1	0
Q9P7N5	0	0
Q07233	0	0
Q84VQ1	0	0
P53140	0	0
P19955	0	0
P38909	0	0
Q93WL3	0	0
Q12374	0	0
Q3MIT2	0	0
O43521	0	0
P30044	0	0
P55924	0	0
Q18211	0	0
Q9LXD1	0	0
Q9LFQ9	0	0
G5EBR8	0	0
P40631	0	0
Q04749	0	0
Q9P7H1	0	0
Q9BV86	0	0
Q9JMB1	0	0
P30803	0	0
Q01664	0	0
Q93WX6	0	0
Q06091	0	0
P54278	0	0
Q06157	0	0
O13351	0	0
Q9US34	0	0
Q66JZ4	0	0
Q21148	0	0
H2KZB2	1	0
Q08258	0	0
Q3E7A8	0	0
A0A125S9M5	0	0
Q9FEC4	0	0
Q96MH2	0	0
P40858	0	0
Q84T94	0	0
O43004	0	0
Q6NN03	0	0
Q15678	0	0
Q8RWN0	0	0
A6H8H2	0	0
Q9P370	0	0
O35253	0	0
Q3KRB8	0	0
P34218	0	0
Q9USN2	0	0
O74560	0	0
P14868	0	0
O04249	0	0
Q9Y6K9	0	0
P09798	0	0
O74738	0	0
O74736	0	0
Q9UQY9	0	0
Q38796	0	0
Q8WZ33	0	0
Q63398	0	0
G3UVW3	0	0
Q8H186	0	0
O00442	0	0
Q9DB60	0	0
Q8MXY0	0	0
Q9FN69	0	0
Q29419	0	0
O14268	0	0
O02073	0	0
P34225	0	0
Q7Z713	0	0
G5EDT1	0	0
Q8RXU9	0	0
Q84X53	0	0
P53168	0	0
P38281	0	0
Q04477	0	0
Q5TA45	0	0
A8IJF8	1	0
Q8N5Y2	0	0
Q04930	0	0
Q94BS2	0	0
B1AL88	0	0
Q9VR17	0	0
Q8WV24	0	0
Q94CL6	0	0
Q3TQ03	0	0
Q99829	0	0
Q8WT44	0	0
J9VI03	0	0
O22802	0	0
P0CG48	0	0
Q25423	0	0
P37263	0	0
P42840	1	0
G5EGP4	0	0
F4IDB2	0	0
Q07560	0	0
P28299	0	0
Q86X51	0	0
P53218	0	0
Q60452	0	0
P25046	0	0
Q86VZ6	0	0
Q13426	0	0
P40055	0	0
P53127	0	0
O60104	0	0
Q1XDE1	0	0
Q3E747	0	0
Q8RWV8	0	0
P82925	0	0
Q96JJ3	0	0
Q29PU2	0	0
P53187	0	0
Q96MI9	0	0
Q10328	0	0
Q9D219	0	0
W0RYD3	0	0
O94403	0	0
P40362	0	0
Q54F42	0	0
Q7XYY2	0	0
P34849	0	0
Q15067	0	0
P62103	1	0
O43716	0	0
P70338	0	0
O36024	0	0
Q9DAG5	0	0
P53895	0	0
Q76IQ7	0	0
Q9C7C4	0	0
O94301	0	0
P53167	0	0
Q86A84	0	0
Q9BZJ7	0	0
E9Q557	0	0
P25584	0	0
Q9V3Z1	0	0
O43030	0	0
P57093	0	0
P55786	1	0
Q9BWF2	0	0
Q84MH1	0	0
P46754	0	0
Q9BXL8	0	0
Q6P087	0	0
P05066	0	0
P43395	0	0
Q8IVP5	0	0
Q1K6P0	0	0
Q9UTB2	0	0
Q6NUF4	0	0
O74563	0	0
P80404	0	0
P63040	0	0
Q06409	0	0
Q9LRB7	0	0
Q80VQ0	0	0
Q9VR19	0	0
P30902	0	0
Q801E2	0	0
Q66LG9	0	0
P43079	0	0
Q8WY64	0	0
Q9XXN2	0	0
Q9SCL7	0	0
P98170	0	0
O74478	0	0
O82279	0	0
Q99583	0	0
P86397	0	0
Q9FJJ3	0	0
Q9ULE6	0	0
Q9Y3R4	0	0
Q65Z55	0	0
P68040	0	0
Q9JHX2	0	0
Q53S58	0	0
Q1KXP9	0	0
Q8BM75	0	0
Q9UUJ5	0	0
Q86TV6	0	0
Q4PJT6	0	0
Q9P7J2	0	0
Q8K5A9	0	0
Q09867	0	0
Q20EU9	0	0
Q8W4L5	0	0
Q7L5Y9	0	0
Q93348	0	0
Q8N0S6	0	0
O94468	0	0
Q8BKT7	0	0
Q5TGY3	0	0
O74854	0	0
Q9WVE0	0	0
O43067	0	0
Q99643	0	0
Q7JXG9	0	0
P14693	0	0
P41812	0	0
Q383Q5	0	0
P53004	0	0
P0C2B9	0	0
B4XT64	0	0
Q9UTQ4	0	0
Q3TYA6	0	0
Q9VJL6	0	0
Q9NGX9	0	0
P22315	0	0
P40050	0	0
O13297	0	0
Q9P6M0	0	0
Q11107	0	0
Q9MUQ5	1	0
Q9NYX4	0	0
Q80XL6	0	0
Q9FMS5	0	0
Q9ES71	0	0
G2TRN4	0	0
P28288	0	0
Q6T4R5	0	0
Q9VDV3	0	0
O43813	0	0
Q9Y5A9	0	0
Q5DP50	0	0
Q14157	0	0
P40517	0	0
Q8BG87	0	0
P48274	1	0
Q96AG3	0	0
P36523	0	0
Q21776	0	0
Q04705	0	0
O14043	0	0
Q9FWA3	0	0
Q6LA53	0	0
Q04411	0	0
Q9CA67	0	0
Q8CGB3	0	0
V5IRA3	0	0
Q9D4J1	0	0
Q9QY93	0	0
Q07896	0	0
Q96QF7	0	0
P12852	0	0
Q3S4A7	0	0
Q8CJ27	0	0
Q7TN79	0	0
Q9P6N2	0	0
Q5HYJ3	0	0
Q19969	0	0
Q6P9B9	0	0
Q8N371	0	0
Q9DBR0	0	0
Q9H8S5	0	0
Q9VKY1	0	0
Q659A1	0	0
Q9UTC5	0	0
Q6ZIK5	0	0
Q10661	0	0
O15014	0	0
Q9BT17	0	0
Q8LPQ9	0	0
P54939	0	0
Q9NWT6	0	0
Q8VZA0	0	0
Q12167	0	0
Q08753	0	0
P70336	0	0
P0CG13	0	0
Q01831	0	0
Q8IQG1	0	0
P18296	0	0
Q12361	0	0
Q10333	0	0
O96759	0	0
Q9LHE5	0	0
O60941	0	0
Q9SZ45	0	0
P32185	0	0
P43332	0	0
Q8TCW9	0	0
F4IV66	0	0
O13985	0	0
Q93VB2	0	0
P39975	0	0
P11638	0	0
F4IQV7	0	0
O13838	0	0
F4JCU0	0	0
O94602	0	0
E9PVX6	0	0
Q96N77	0	0
O46385	0	0
Q3URU2	0	0
Q9FFA7	0	0
P53930	0	0
Q9SWI6	0	0
Q8H0V5	0	0
G5EEM0	0	0
P13469	0	0
P32344	0	0
O35465	0	0
P55263	0	0
Q84Y18	0	0
Q9C0X8	0	0
Q9STX3	0	0
Q6BDR8	0	0
Q9QZS8	0	0
O13684	0	0
Q96SB3	0	0
Q75F43	0	0
Q03798	0	0
P51521	0	0
P87121	0	0
P0CT58	0	0
Q15080	0	0
Q8R3P9	0	0
Q6UPE1	0	0
Q9XI00	0	0
Q8GTS1	0	0
O43808	0	0
O94660	0	0
Q12179	0	0
Q06J62	0	0
Q86V20	0	0
P0CX38	0	0
P12695	0	0
Q96T76	0	0
P53255	0	0
Q42736	0	0
Q9UI26	0	0
Q96524	0	0
O94393	0	0
P54886	0	0
O81242	0	0
Q9P7M4	0	0
Q1XDD3	0	0
Q9Y276	0	0
O95411	0	0
Q9UUI3	0	0
L0R8F8	0	0
P46060	0	0
O74350	0	0
Q90ZN1	0	0
Q9QXM1	0	0
Q9UGU0	0	0
P27469	0	0
A8MPH9	0	0
Q4WTI4	0	0
Q93009	0	0
O13563	0	0
Q09135	0	0
O65107	0	0
Q93VM9	0	0
P05084	0	0
P52553	0	0
O88735	0	0
Q18297	0	0
O60141	0	0
P54074	0	0
Q9BDP6	0	0
P79211	0	0
Q18508	0	0
P40515	0	0
Q24167	0	0
Q09LL3	0	0
Q1M168	0	0
P0CB49	0	0
Q9DB96	0	0
Q01519	0	0
A0A0B5L781	0	0
O13698	0	0
Q9HAB3	1	0
Q6FJH4	0	0
Q04048	0	0
Q9TYY7	0	0
Q9VX09	0	0
P56347	0	0
Q9P7S6	0	0
Q9P7K5	0	0
Q86UD5	0	0
Q5SSW2	0	0
P39943	0	0
Q22829	0	0
Q32NR9	0	0
Q26366	0	0
Q03770	0	0
Q0P5B3	0	0
Q01981	0	0
Q6DBR6	0	0
Q08142	0	0
Q07930	0	0
P40028	0	0
Q9SNC0	0	0
P48732	0	0
J9N5P9	0	0
O74381	0	0
Q9VZQ1	0	0
O94405	0	0
Q8VXP3	0	0
Q0WP96	0	0
Q9M9L6	0	0
P58151	0	0
O42882	0	0
Q9H5F2	0	0
Q13156	0	0
Q9P7M6	0	0
Q92374	0	0
Q9UUE7	0	0
Q921G6	0	0
Q9NYK5	0	0
Q9ULZ0	0	0
P40917	0	0
P37398	0	0
Q96HS1	1	0
O94606	0	0
Q9NXE8	0	0
P23611	0	0
O95571	0	0
Q9US38	0	0
Q5T5X7	0	0
O22265	0	0
Q60864	0	0
Q9VV74	0	0
Q91WN3	0	0
P53873	0	0
Q8IM30	0	0
O50016	0	0
Q3U5Q7	0	0
P11596	0	0
Q9QZU4	0	0
O94480	0	0
Q5XIQ3	0	0
O43114	0	0
P80264	0	0
Q91V08	0	0
Q9P7W7	0	0
Q8S9M1	0	0
E9Q5F9	0	0
Q0H8X7	0	0
P36056	0	0
Q15424	0	0
O94261	0	0
F4JYE9	0	0
P32336	0	0
Q96TL7	0	0
O13801	0	0
Q23794	0	0
Q9C5Q8	0	0
Q9H790	0	0
Q9NVV4	0	0
Q9NW15	0	0
Q8GTR4	0	0
Q12497	0	0
P00966	0	0
Q9Y5X3	0	0
P38777	0	0
Q9GZL7	0	0
P25005	0	0
Q9CQJ2	0	0
Q38834	0	0
Q9ZUZ6	0	0
Q9LPW3	0	0
Q8NEY8	0	0
Q01617	1	0
Q9JJK1	0	0
P32807	0	0
Q147X3	0	0
Q9M0V4	0	0
Q9SS48	0	0
Q9SRK5	0	0
Q7SY10	0	0
Q6TA49	1	0
P40848	0	0
B2RZD2	0	0
Q09725	0	0
O15438	0	0
O59744	0	0
O95466	0	0
P53125	0	0
Q9H1K0	0	0
Q9LLY4	0	0
O94723	0	0
P32357	0	0
Q09823	0	0
Q497V6	0	0
O94583	0	0
Q945M1	0	0
P25642	0	0
Q9SU14	0	0
Q6S000	0	0
Q8BMB0	0	0
P35228	0	0
O80504	0	0
Q5IZC8	0	0
Q16773	0	0
P36532	0	0
P38279	0	0
Q9FFF4	0	0
P91082	0	0
O74113	0	0
P35549	0	0
P20482	1	0
O59748	0	0
Q7TPD6	0	0
A6NC51	1	0
P69851	0	0
Q14674	0	0
P81909	0	0
O74984	0	0
Q9P7P9	0	0
Q03702	0	0
G5EG17	0	0
Q96T23	0	0
P26862	0	0
Q9NY27	0	0
Q9FVE6	0	0
Q70IA6	0	0
Q9BRJ2	0	0
Q02038	0	0
P54857	0	0
Q6AX31	0	0
D4A3U0	0	0
A2RVK7	0	0
Q02336	0	0
Q86TB3	0	0
Q9HCN2	0	0
Q09779	0	0
P25379	0	0
Q02794	0	0
Q9C469	0	0
P40481	0	0
Q7YZH1	0	0
P35435	0	0
Q80WQ9	0	0
Q9VWE6	0	0
Q04779	0	0
P38927	0	0
P39979	0	0
Q07458	0	0
Q8N2H3	0	0
Q14916	0	0
Q9Y241	0	0
P36162	0	0
D3YZI9	0	0
O94392	0	0
Q6UB98	0	0
H2KY91	0	0
P51228	0	0
Q92619	0	0
O82504	0	0
F4JLC1	0	0
O94277	0	0
P40530	0	0
Q9EQH4	0	0
O94258	0	0
P36168	0	0
Q9BYK8	0	0
Q9FYR6	0	0
P48945	1	0
Q9SPU7	0	0
Q9Y802	0	0
Q94KE2	0	0
Q1XDS0	0	0
Q9P5M9	0	0
Q16186	0	0
Q9VW51	0	0
O94493	0	0
P49728	0	0
Q10990	0	0
Q10426	0	0
Q96L50	0	0
Q9USU3	0	0
Q7RYL4	0	0
Q8CGY6	0	0
Q99933	0	0
A0A0P0X0C0	0	0
Q8IWA0	0	0
Q9H0E9	0	0
O60053	0	0
Q6J4K2	1	0
O14033	0	0
Q7XS69	0	0
P0DKJ8	0	0
Q6NKS4	0	0
Q4MYA8	0	0
Q08076	1	0
O74365	0	0
Q8C0V1	0	0
O74424	0	0
P36000	0	0
O88177	0	0
Q9USR2	0	0
Q9H871	0	0
Q940L4	0	0
Q91WE2	0	0
P07257	0	0
Q07979	0	0
Q8LK56	0	0
P81664	0	0
Q10SU5	0	0
Q99J39	0	0
B6HQN4	0	0
Q9P7G6	0	0
