From	Entry	Transmembrane	Transit peptide
P34162	P34162		
O94384	O94384		
O13927	O13927		
Q9H583	Q9H583		
O74489	O74489		
P22734	P22734	TRANSMEM 3..19; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	
Q7Z614	Q7Z614		
O14042	O14042	TRANSMEM 193..215; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
Q42496	Q42496	TRANSMEM 68..88; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..60; /note="Chloroplast"; /evidence="ECO:0000269|PubMed:7493968, ECO:0000269|PubMed:8631873, ECO:0000269|Ref.4"
Q07335	Q07335	TRANSMEM 85..105; /note="Helical"; /evidence="ECO:0000255"	
Q9VMD0	Q9VMD0		
O09112	O09112		
Q04888	Q04888		
P53941	P53941		
P46416	P46416		TRANSIT 1..61; /note="Chloroplast"; /evidence="ECO:0000255"
Q23889	Q23889		
Q9UDW3	Q9UDW3		
Q60676	Q60676		
O13650	O13650		
Q85FP0	Q85FP0		
Q9US49	Q9US49		
Q9Y7X4	Q9Y7X4	TRANSMEM 22..42; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 73..93; /note="Helical"; /evidence="ECO:0000255"	
Q9P7K1	Q9P7K1		
Q5TYM5	Q5TYM5		
O43719	O43719		
P18494	P18494		
Q9STS7	Q9STS7		TRANSIT 1..39; /note="Chloroplast"; /evidence="ECO:0000255"
Q80WE4	Q80WE4		
P53184	P53184		
Q12509	Q12509		
O95905	O95905		
A8CVF3	A8CVF3		
F1M386	F1M386		
Q10272	Q10272		
P49334	P49334	TRANSMEM 98..119; /note="Helical"; /evidence="ECO:0000255"	
Q86XK2	Q86XK2		
Q2LCP0	Q2LCP0		
O14141	O14141		
O22130	O22130		
Q9FX67	Q9FX67		
Q6P4R8	Q6P4R8		
Q9VGH1	Q9VGH1		TRANSIT 1..?; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9SA52	Q9SA52		TRANSIT 1..50; /note="Chloroplast"; /evidence="ECO:0000305"
O43482	O43482		
Q9V452	Q9V452		
P41229	P41229		
P35729	P35729		
Q2M1K9	Q2M1K9		
Q9V3V7	Q9V3V7		
P34537	P34537		
Q9LXR8	Q9LXR8	TRANSMEM 292..312; /note="Helical"; /evidence="ECO:0000255"	
P50748	P50748		
Q7JNM3	Q7JNM3		
Q9H7E2	Q9H7E2		
Q9U213	Q9U213		
Q9NRP7	Q9NRP7		
Q9VXG1	Q9VXG1		
Q9FJ95	Q9FJ95		
Q6CLY8	Q6CLY8		TRANSIT 1..21; /note="Mitochondrion"; /evidence="ECO:0000255"
Q5HZG9	Q5HZG9		
Q3V6T2	Q3V6T2		
P81122	P81122		
O48917	O48917		TRANSIT 1..86; /note="Chloroplast"; /evidence="ECO:0000305"
Q9UT60	Q9UT60		
P51371	P51371		
P78508	P78508	TRANSMEM 65..89; /note="Helical; Name=M1"; /evidence="ECO:0000250"; TRANSMEM 143..164; /note="Helical; Name=M2"; /evidence="ECO:0000250"	
Q59RL7	Q59RL7		
Q9C5J3	Q9C5J3		
P97452	P97452		
P50105	P50105		
Q92945	Q92945		
P32800	P32800	TRANSMEM 3..29; /note="Helical; Name=TM1"; /evidence="ECO:0000250|UniProtKB:G2Q1C9"; TRANSMEM 34..60; /note="Helical; Name=TM2"; /evidence="ECO:0000250|UniProtKB:G2Q1C9"; TRANSMEM 78..97; /note="Helical; Name=TM3"; /evidence="ECO:0000250|UniProtKB:G2Q1C9"; TRANSMEM 102..133; /note="Helical; Name=TM4"; /evidence="ECO:0000250|UniProtKB:G2Q1C9"; TRANSMEM 176..197; /note="Helical; Name=TM5"; /evidence="ECO:0000250|UniProtKB:G2Q1C9"	
Q3E785	Q3E785		
Q4V7C6	Q4V7C6		
Q9USZ4	Q9USZ4		
P40019	P40019		
Q8NCN4	Q8NCN4		
Q9UPR3	Q9UPR3		
Q2HJJ1	Q2HJJ1		TRANSIT 1..55; /note="Mitochondrion"; /evidence="ECO:0000269|PubMed:11551941"
O13612	O13612		
Q9HE09	Q9HE09		
Q03694	Q03694		
P32858	P32858	TRANSMEM 7..27; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 41..61; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 98..118; /note="Helical"; /evidence="ECO:0000255"	
Q22812	Q22812		
Q9S7Z8	Q9S7Z8	TRANSMEM 8..28; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 39..59; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 72..92; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 102..122; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 132..152; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 501..521; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 525..545; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 560..580; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 586..606; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 620..640; /note="Helical"; /evidence="ECO:0000255"	
Q42512	Q42512		TRANSIT 1..40; /note="Chloroplast"; /evidence="ECO:0000269|PubMed:16668917, ECO:0000269|PubMed:8685269"
Q9FFJ8	Q9FFJ8		
P40968	P40968		
Q15466	Q15466		
Q00059	Q00059		TRANSIT 1..42; /note="Mitochondrion"; /evidence="ECO:0000255, ECO:0007744|PubMed:25944712"
Q9LER7	Q9LER7		TRANSIT 1..65; /note="Chloroplast"; /evidence="ECO:0007744|PubMed:22223895"
O43586	O43586		
Q9NTZ6	Q9NTZ6		
Q96P88	Q96P88	TRANSMEM 29..49; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 68..88; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 116..136; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 178..198; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 217..237; /note="Helical; Name=5"; /evidence="ECO:0000255"	
O22788	O22788		
O62471	O62471		
Q64244	Q64244	TRANSMEM 22..44; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	
Q9UNS2	Q9UNS2		
Q149M9	Q149M9		
Q11193	Q11193		
O79550	O79550	TRANSMEM 10..30; /note="Helical"; /evidence="ECO:0000255"	
P38872	P38872		
Q9FK13	Q9FK13	TRANSMEM 207..225; /note="Helical"; /evidence="ECO:0000255"	
P40535	P40535		
Q96BN2	Q96BN2		
Q66GP9	Q66GP9		TRANSIT 1..31; /note="Chloroplast and mitochondrion"; /evidence="ECO:0000255"
P27889	P27889		
O19900	O19900		
Q6ZY51	Q6ZY51		TRANSIT 1..54; /note="Chloroplast"; /evidence="ECO:0007744|PubMed:22223895"
O60158	O60158		
Q7SAJ1	Q7SAJ1		
Q39134	Q39134	TRANSMEM 34..54; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 58..78; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 123..143; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 167..187; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 188..208; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 278..298; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 301..321; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 325..345; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 385..405; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 406..426; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 442..462; /note="Helical"; /evidence="ECO:0000255"	
Q99359	Q99359		
Q9UUB6	Q9UUB6		
Q7L0Y3	Q7L0Y3		TRANSIT 1..39; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9P287	Q9P287		
Q9URY5	Q9URY5		
Q9P127	Q9P127		
O60566	O60566		
P82899	P82899		
P82536	P82536		
Q5VZV1	Q5VZV1		
P33751	P33751		TRANSIT 1..58; /note="Mitochondrion"; /evidence="ECO:0000255|HAMAP-Rule:MF_03197"
Q08274	Q08274		
P22265	P22265		
P07665	P07665		
Q96WV0	Q96WV0		
Q9NVI1	Q9NVI1		
Q7M258	Q7M258		
P00428	P00428		TRANSIT 1..31; /note="Mitochondrion"; /evidence="ECO:0000269|PubMed:2844245, ECO:0000269|PubMed:6292069"
O59734	O59734		
Q810M6	Q810M6		
Q8TAX9	Q8TAX9	TRANSMEM 83..100; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"; TRANSMEM 104..125; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"; TRANSMEM 168..183; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"; TRANSMEM 187..199; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"	
P48254	P48254		
Q8H157	Q8H157	TRANSMEM 28..48; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 75..95; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 96..116; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 142..162; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 184..204; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 211..231; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 343..363; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 391..411; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 428..448; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 465..485; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 508..528; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 554..574; /note="Helical"; /evidence="ECO:0000255"	
Q8N0T1	Q8N0T1		
Q99ML0	Q99ML0		
Q9WUM4	Q9WUM4		
G5ECD6	G5ECD6	TRANSMEM 40..60; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 129..149; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 157..177; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 194..214; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 222..242; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 270..290; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 317..337; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 343..363; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 397..417; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 837..857; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 866..886; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 893..913; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 923..943; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 952..972; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1149..1169; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1210..1230; /note="Helical"; /evidence="ECO:0000255"	
Q9NR21	Q9NR21		
P23786	P23786		TRANSIT 1..25; /note="Mitochondrion"
P40012	P40012		
A8JFU2	A8JFU2	TRANSMEM 6..26; /note="Helical"; /evidence="ECO:0000255"	
Q75W84	Q75W84	TRANSMEM 55..75; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 84..104; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 125..145; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 167..187; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 213..233; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 329..349; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 361..381; /note="Helical; Name=7"; /evidence="ECO:0000255"	
Q03429	Q03429		TRANSIT 1..24; /note="Mitochondrion"; /evidence="ECO:0000255"
Q12117	Q12117	TRANSMEM 35..55; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 63..83; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 117..137; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 142..162; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 168..188; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 205..225; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 239..259; /note="Helical"; /evidence="ECO:0000255"	
Q9FV50	Q9FV50		TRANSIT 1..49; /note="Chloroplast and mitochondrion"; /evidence="ECO:0000255|HAMAP-Rule:MF_03174, ECO:0007744|PubMed:22223895"
Q9XZ34	Q9XZ34		
Q17431	Q17431		
Q8NCN2	Q8NCN2		
Q9BRS2	Q9BRS2		
P32521	P32521		
P17009	P17009		
Q9Y2Q9	Q9Y2Q9		TRANSIT 1..71; /note="Mitochondrion"; /evidence="ECO:0000250"
Q6X7J9	Q6X7J9		
P70585	P70585	TRANSMEM 70..90; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 103..123; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 153..173; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 183..203; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 222..242; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 278..298; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 310..332; /note="Helical; Name=7"; /evidence="ECO:0000255"	
Q5VTR2	Q5VTR2		
P59722	P59722		
Q92989	Q92989		
Q7S7R6	Q7S7R6		TRANSIT 1..42; /note="Mitochondrion"; /evidence="ECO:0000255"
Q6DBA5	Q6DBA5		
P03934	P03934		
Q02642	Q02642		
Q9NVV9	Q9NVV9		
Q84MZ4	Q84MZ4		
Q8MEX2	Q8MEX2		
P87227	P87227		
O75821	O75821		
Q99373	Q99373		TRANSIT 1..36; /note="Mitochondrion"; /evidence="ECO:0000255"
Q498E2	Q498E2		
Q9SZL6	Q9SZL6		TRANSIT 1..?; /note="Chloroplast and mitochondrion"; /evidence="ECO:0000255"
Q94IN5	Q94IN5		TRANSIT 1..37; /note="Mitochondrion"; /evidence="ECO:0000269|PubMed:1910287"
O43008	O43008		
Q9H832	Q9H832		
F4JYC8	F4JYC8	TRANSMEM 1539..1559; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1569..1589; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1596..1616; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1624..1644; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1682..1702; /note="Helical"; /evidence="ECO:0000255"	
O23166	O23166		TRANSIT 1..40; /note="Chloroplast"; /evidence="ECO:0000255"
Q9P7V4	Q9P7V4		
F4IHL3	F4IHL3		TRANSIT 1..?; /note="Chloroplast"; /evidence="ECO:0000255"
Q02950	Q02950		
Q3MV14	Q3MV14		
O74832	O74832		TRANSIT 1..12; /note="Mitochondrion"; /evidence="ECO:0000255"
Q10SY9	Q10SY9	TRANSMEM 15..35; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 38..58; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 60..80; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 107..127; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 181..201; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 272..292; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 320..340; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 366..386; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 394..414; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 450..470; /note="Helical"; /evidence="ECO:0000255"	
Q9UH65	Q9UH65		
O43542	O43542		
A0A2Z4LIS9	A0A2Z4LIS9		
A9UHW6	A9UHW6		
O74845	O74845		
Q9GRZ3	Q9GRZ3		
Q9TLS1	Q9TLS1		
O19883	O19883		
Q0D3I7	Q0D3I7		
Q8R526	Q8R526	TRANSMEM 1525..1545; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1733..1753; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1773..1793; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1906..1926; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 1951..1971; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 2058..2078; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 2289..2309; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 2333..2353; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 2380..2400; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 2406..2426; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 2484..2504; /note="Helical"; /evidence="ECO:0000255"	
O09130	O09130		
Q9CPR8	Q9CPR8		
O78431	O78431		
Q6ZWS8	Q6ZWS8		
Q9UT10	Q9UT10		
Q8IPX7	Q8IPX7		
P06652	P06652		
Q9P7E0	Q9P7E0	TRANSMEM 24..47; /note="Helical"; /evidence="ECO:0000250|UniProtKB:P37299"	
Q9VEC3	Q9VEC3		
Q92546	Q92546		
O94453	O94453		
P61266	P61266	TRANSMEM 265..288; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255"	
Q8GWA2	Q8GWA2		TRANSIT 1..53; /note="Chloroplast"; /evidence="ECO:0000255"
Q8H3A7	Q8H3A7		
P05435	P05435		TRANSIT 1..41; /note="Chloroplast"; /evidence="ECO:0000269|PubMed:8664275"
O48716	O48716		
O95359	O95359		
P23769	P23769		
M9MRD1	M9MRD1	TRANSMEM 12296..12316; /note="Helical; Anchor for type IV membrane protein"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00385"	
Q9D8H7	Q9D8H7	TRANSMEM 192..212; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..79; /note="Mitochondrion"; /evidence="ECO:0000255"
Q38HM4	Q38HM4		
P48382	P48382		
Q7KTX8	Q7KTX8		
D3YN49	D3YN49		
O13919	O13919		
Q0P5I5	Q0P5I5		TRANSIT 1..25; /note="Mitochondrion"; /evidence="ECO:0000269|PubMed:21998747"
Q8TAT5	Q8TAT5		
Q9XIP2	Q9XIP2		
Q09961	Q09961		
P41698	P41698	TRANSMEM 516..536; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 578..598; /note="Helical"; /evidence="ECO:0000255"	
Q29RF7	Q29RF7		
Q03718	Q03718		
Q7K556	Q7K556		
Q7SHR9	Q7SHR9		
O88713	O88713	TRANSMEM 34..56; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"	
Q9SHE8	Q9SHE8	TRANSMEM 147..167; /note="Helical"; /evidence="ECO:0000255"	TRANSIT 1..32; /note="Chloroplast"; /evidence="ECO:0000255"; TRANSIT 33..67; /note="Thylakoid"; /evidence="ECO:0000305"
P47158	P47158		TRANSIT 1..27; /note="Mitochondrion"; /evidence="ECO:0000255"
Q6Q4D0	Q6Q4D0		
Q06494	Q06494		
Q9VSA3	Q9VSA3		TRANSIT 1..22; /note="Mitochondrion"; /evidence="ECO:0000255"
P42696	P42696		
Q9C587	Q9C587		
Q8RXN6	Q8RXN6		
P38879	P38879		
P26335	P26335		
Q3MHJ5	Q3MHJ5		TRANSIT 1..16; /note="Mitochondrion"; /evidence="ECO:0000255"
O94368	O94368		TRANSIT 1..36; /note="Mitochondrion"; /evidence="ECO:0000255"
P26860	P26860		
P43246	P43246		
Q9V4P1	Q9V4P1		
B2RRE4	B2RRE4		
Q9UT98	Q9UT98		TRANSIT 1..42; /note="Mitochondrion"; /evidence="ECO:0000255"
Q9UT09	Q9UT09		
O14142	O14142	TRANSMEM 107..127; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 169..189; /note="Helical"; /evidence="ECO:0000255"	
P32493	P32493		TRANSIT 1..19; /note="Mitochondrion"; /evidence="ECO:0000255"
P40154	P40154		
Q9UUH3	Q9UUH3		
Q3UK10	Q3UK10		
Q7Z995	Q7Z995		
P51230	P51230		
Q99L02	Q99L02		
Q9UFC0	Q9UFC0		
Q9NYV6	Q9NYV6		
P36213	P36213		TRANSIT 1..43; /note="Chloroplast"; /evidence="ECO:0000269|Ref.2"
O60142	O60142		TRANSIT 1..33; /note="Mitochondrion"; /evidence="ECO:0000255"
Q3URQ0	Q3URQ0		
P02260	P02260		
P27583	P27583		
